movie_id,title,original_language,release_date,popularity,vote_average,vote_count,budget,revenue,runtime,status,adult,belongs_to_collection,genres,production_countries,production_companies_n,spoken_languages_n,tagline_len,overview_len
1226863,The Super Mario Galaxy Movie,en,2026-04-01,544.8314,6.774,642,110000000,831474150,98,Released,False,1,"[""Family"", ""Comedy"", ""Adventure"", ""Fantasy"", ""Animation""]","[""JP"", ""US""]",3,1,18,310
1318447,Apex,en,2026-04-24,596.4148,6.536,320,23,22,96,Released,False,0,"[""Thriller"", ""Action""]","[""US"", ""IS"", ""AU""]",4,1,14,153
1523145,Your Heart Will Be Broken,ru,2026-03-26,332.9411,6.9,74,0,0,134,Released,False,0,"[""Romance"", ""Drama""]","[""RU""]",5,1,0,319
1198994,Send Help,en,2026-01-22,330.49,7.025,1103,40000000,94041481,113,Released,False,0,"[""Horror"", ""Thriller"", ""Comedy""]","[""US""]",3,1,74,239
936075,Michael,en,2026-04-22,273.1355,7.6,287,250000000,217400000,128,Released,False,0,"[""Music"", ""Drama""]","[""US""]",3,1,30,444
83533,Avatar: Fire and Ash,en,2025-12-17,227.3422,7.379,2743,350000000,1490477656,198,Released,False,1,"[""Science Fiction"", ""Adventure"", ""Fantasy""]","[""US""]",3,1,41,361
1613798,Vengeance,es,2026-02-26,203.9331,6.962,91,0,0,103,Released,False,0,"[""Action"", ""Thriller""]","[""US"", ""ES""]",2,1,0,308
1327819,Hoppers,en,2026-03-04,162.5408,7.59,527,150000000,370156679,105,Released,False,0,"[""Animation"", ""Family"", ""Science Fiction"", ""Comedy"", ""Adventure""]","[""US""]",1,2,12,296
1290821,Shelter,en,2026-01-28,155.8428,6.785,603,50000000,53818282,107,Released,False,0,"[""Action"", ""Crime"", ""Thriller""]","[""US"", ""GB""]",4,2,24,205
687163,Project Hail Mary,en,2026-03-15,190.373,8.207,1776,200000000,613431522,157,Released,False,0,"[""Science Fiction"", ""Adventure""]","[""US""]",5,3,25,433
1470130,The Mortuary Assistant,en,2026-02-13,135.9678,5.488,81,0,0,91,Released,False,0,"[""Horror"", ""Mystery""]","[""US"", ""GB""]",4,1,20,281
1171145,Crime 101,en,2026-02-11,161.6193,6.94,794,90000000,72824188,141,Released,False,0,"[""Crime"", ""Thriller""]","[""GB"", ""US""]",5,1,20,370
1297842,GOAT,en,2026-02-11,157.6021,7.918,458,90000000,190508904,100,Released,False,0,"[""Animation"", ""Comedy"", ""Family""]","[""US""]",6,1,36,196
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,ja,2025-07-18,144.5103,7.7,812,20000000,733030221,156,Released,False,1,"[""Animation"", ""Action"", ""Fantasy""]","[""JP""]",3,1,27,204
1084242,Zootopia 2,en,2025-11-26,123.3296,7.607,2616,150000000,1868208796,108,Released,False,1,"[""Adventure"", ""Animation"", ""Comedy"", ""Family"", ""Mystery""]","[""US"", ""CA""]",2,1,28,367
1290417,Thrash,en,2026-04-10,122.5362,5.952,452,0,0,84,Released,False,0,"[""Horror"", ""Thriller""]","[""US"", ""AU""]",2,2,32,158
1304313,Lee Cronin's The Mummy,en,2026-04-15,120.1005,6.8,150,22000000,65451688,133,Released,False,0,"[""Horror"", ""Mystery""]","[""US"", ""IE""]",5,2,23,221
1084577,Balls Up,en,2026-04-15,112.9215,5.659,135,0,0,104,Released,False,0,"[""Comedy"", ""Action"", ""Adventure""]","[""US""]",3,1,32,294
1010755,The Strangers: Chapter 3,en,2026-02-05,87.5376,5.574,122,8500000,9191988,92,Released,False,1,"[""Horror"", ""Thriller""]","[""GB"", ""US""]",5,1,19,176
1419406,The Shadow's Edge,zh,2025-08-16,98.0881,7.208,590,0,174400000,142,Released,False,0,"[""Action"", ""Crime"", ""Drama"", ""Thriller""]","[""CN"", ""HK""]",4,1,114,129
1159559,Scream 7,en,2026-02-25,97.061,6.06,803,45000000,213819468,114,Released,False,1,"[""Horror"", ""Mystery"", ""Crime""]","[""US""]",3,1,17,293
