feature,importance
genre_animation,0.15116179
genre_drama,0.105142765
is_english,0.06580366
release_year,0.049211435
genre_music,0.048616238
has_budget,0.036475882
genre_history,0.035709813
genre_fantasy,0.033524867
genre_action,0.03336149
genre_horror,0.029047308
log_vote_count,0.02651222
genre_war,0.026426684
genre_science_fiction,0.026368236
belongs_to_collection,0.026229773
is_us_production,0.024439428
genre_family,0.024374152
genre_adventure,0.02409578
log_popularity,0.023584073
genre_comedy,0.023495449
has_revenue,0.019448515
